Invoice Number,INVOICE_ID,Invoice Amount,Invoice date,INVOICE_CURRENCY_CODE,SOURCE,Invoice Type,INVOICE_DESCRIPTION,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,LINE_DESCRIPTION,CHARGE_ACCOUNT
95683143 X,103097,2104.23,2026-02-06,USD,Conversion,STANDARD,FB: PO# - 26-10397  Created for SO #244321,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2104.23,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683144X,103026,1043.05,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10440  Created for SO #244329,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1043.05,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683253,103615,624.57,2026-01-30,USD,Conversion,STANDARD,FB: PO# - 26-10374  Created for SO #244280  SO Note: Thomas Chapman: 206-550-2453,104698,Metalaire,1,ITEM,624.57,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683254,103614,257.1,2026-01-30,USD,Conversion,STANDARD,FB: PO# - 26-10401  Created for SO #244324,104698,Metalaire,1,ITEM,257.1,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683255X,104082,168.08,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10441  Created for SO #244397,104698,Metalaire,1,ITEM,168.08,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683257,103022,512.01,2026-01-30,USD,Conversion,STANDARD,FB: PO# - 26-10302  Created for SO #244186,100866,GREENHECK FAN CORPORATION (V),1,ITEM,512.01,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683303X,103028,1559.61,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10633  Created for SO #244749,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1559.61,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683342X,103027,1051.88,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10590  Created for SO #244654  Cameron Foreman  Assistant Project Manager  Emerald ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1051.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683422X,103030,488.08,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10688  Created for SO #244843  SO Note: Tom Tice 509-630-7777   PO # 16-6298-3483,100866,GREENHECK FAN CORPORATION (V),1,ITEM,488.08,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683460X,103029,1373.94,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18683  Created for SO #243225,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1373.94,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683547X,103732,3710.59,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10074  Created for SO #243773,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3710.59,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683593X,103731,240.98,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10686  Created for SO #244842  SO Note: Mac (949)239-9320   Pacific Sky Recovery,100866,GREENHECK FAN CORPORATION (V),1,ITEM,240.98,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683625X,103733,2568.17,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18681  Created for SO #243220,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2568.17,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683723X,103031,145.48,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10700  Created for SO #244871  SO Note: Brad Laskoski 360-434-2291  Thompson Hotel,100866,GREENHECK FAN CORPORATION (V),1,ITEM,145.48,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683805X,103033,84.11,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10502  Created for SO #244507,100866,GREENHECK FAN CORPORATION (V),1,ITEM,84.11,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683806X,103032,124.79,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10696  Created for SO #244775  SO Note: Jesse Cloutier - 206.491.1453  Artise   Lev...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,124.79,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683911X,103734,1963.91,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10436  Created for SO #244391,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1963.91,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683928X,103035,45888.3,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18687  Created for SO #243229,100866,GREENHECK FAN CORPORATION (V),1,ITEM,45888.3,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95683929X,103735,697.26,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18702  Created for SO #243253,100866,GREENHECK FAN CORPORATION (V),1,ITEM,697.26,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95683956X,103034,994.25,2026-02-02,USD,Conversion,STANDARD,"FB: PO# - 26-10426  Created for SO #244378  Ramie Havens, Purchasing Manager  Holaday-Parks, Inc...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,994.25,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684023X,103736,594.18,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10594  Created for SO #244660,100866,GREENHECK FAN CORPORATION (V),1,ITEM,594.18,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95684128X,103036,283.38,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10450  Created for SO #244372,100866,GREENHECK FAN CORPORATION (V),1,ITEM,283.38,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684129X,103037,521.99,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10659  Created for SO #244805  SO Note: Bryant Johansen - 206.832.6126  Cooper Thom...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,521.99,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684150X,103038,739.65,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10419  Created for SO #244364,100866,GREENHECK FAN CORPORATION (V),1,ITEM,739.65,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684274X,103039,78.68,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10712  Created for SO #244888  SO Note: Joshua Lewis - (425) 739-0630  PO 6421523-00,100866,GREENHECK FAN CORPORATION (V),1,ITEM,78.68,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684459X,103040,146.9,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10696  Created for SO #244775  SO Note: Jesse Cloutier - 206.491.1453  Artise   Lev...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,146.9,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684557X,103041,1326.61,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10265  Created for SO #237685,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1326.61,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684580X,104083,2324.84,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10204  Created for SO #243991,104698,Metalaire,1,ITEM,2324.84,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95684581X,103616,74.51,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10472  Created for SO #244441  SO Note:  Jeff Twedt (206)850-4148    PO 1022319-63374,104698,Metalaire,1,ITEM,74.51,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684582X,103617,4506.96,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10331  Created for SO #244208,104698,Metalaire,1,ITEM,4506.96,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684808,103043,4074.24,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10207  Created for SO #243998  Cameron Foreman  Assistant Project Manager  Emerald ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4074.24,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684809,103042,1023.47,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10495  Created for SO #243710,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1023.47,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684810,103044,4212.3,2026-02-02,USD,Conversion,STANDARD,"FB: PO# - 25-18723  Created for SO #243292  Ryan Johnson, LEED AP  Emerald Aire, Inc.  Project M...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,4212.3,Dorse_Line_1,1510.1601.100.000.511000.0000.000
9568483X,103618,236.25,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10466  Created for SO #239094,104698,Metalaire,1,ITEM,236.25,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684843,103045,1683.15,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10385  Created for SO #244297,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1683.15,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95684933,103741,10218.47,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10121  Created for SO #242642,100866,GREENHECK FAN CORPORATION (V),1,ITEM,10218.47,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685033,103054,55.2,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10472A  Created for SO #244441  SO Note:  Jeff Twedt (206)850-4148    PO 1022319-63374,100866,GREENHECK FAN CORPORATION (V),1,ITEM,55.2,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685059 X,103098,25839.12,2026-02-06,USD,Conversion,STANDARD,FB: PO# - 25-18694  Created for SO #243240,100866,GREENHECK FAN CORPORATION (V),1,ITEM,25839.12,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685104,103048,1333.16,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10560  Created for SO #243075,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1333.16,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685329,103737,196.11,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10722  Created for SO #244904  SO Note: RON WAGNER  (253) 838-9780   PO# 55879 - 43...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,196.11,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685330,103046,252.79,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10724  Created for SO #244907  SO Note: Chenoa Aldag 4255318918  Job# 850013495  Mi...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,252.79,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685447,103047,515.21,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10367  Created for SO #244236,100866,GREENHECK FAN CORPORATION (V),1,ITEM,515.21,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685448,103738,78.68,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10734  Created for SO #244918  SO Note: Glen Nelson  PO OR8235520,100866,GREENHECK FAN CORPORATION (V),1,ITEM,78.68,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685467,103053,454.31,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18189  Created for SO #242304,100866,GREENHECK FAN CORPORATION (V),1,ITEM,454.31,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685687,103052,6838.81,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18116  Created for SO #242220,100866,GREENHECK FAN CORPORATION (V),1,ITEM,6838.81,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685688,103739,3317.34,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10422  Created for SO #244370,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3317.34,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685689,103740,3310.35,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10658  Created for SO #244727  SO Note: Corry 206-423-0653  Lake City,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3310.35,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685690,103051,817.17,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10637  Created for SO #244754,100866,GREENHECK FAN CORPORATION (V),1,ITEM,817.17,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685691,103742,2734.48,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10682  Created for SO #244712,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2734.48,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685692,103055,852.14,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10710  Created for SO #244881,100866,GREENHECK FAN CORPORATION (V),1,ITEM,852.14,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685769,103751,155.54,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10743  Created for SO #244846  SO Note: Attn: Jason Chase    Job # 60940742,100866,GREENHECK FAN CORPORATION (V),1,ITEM,155.54,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95685770,103050,701.77,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10663  Created for SO #244811,100866,GREENHECK FAN CORPORATION (V),1,ITEM,701.77,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685827,103049,1113.15,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10291  Created for SO #244153,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1113.15,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685879,103060,358.56,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10417  Created for SO #244357,100866,GREENHECK FAN CORPORATION (V),1,ITEM,358.56,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685887,103061,1022.94,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10296  Created for SO #244176,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1022.94,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685888,103056,18074.44,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10291  Created for SO #244153,100866,GREENHECK FAN CORPORATION (V),1,ITEM,18074.44,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685906,103062,56.64,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10745  Created for SO #244952  SO Note: Chris Cruz 206-786-8172  ArtHouse  PO927091,100866,GREENHECK FAN CORPORATION (V),1,ITEM,56.64,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685944,103057,7066.08,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18694  Created for SO #243240,100866,GREENHECK FAN CORPORATION (V),1,ITEM,7066.08,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95685944_1,103743,1949.88,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18694B  Created for SO #243240,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1949.88,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686201,103058,2232.46,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10137  Created for SO #243876,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2232.46,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95686284,103750,1743.03,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10180  Created for SO #243946,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1743.03,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686331,104084,502.65,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10303  Created for SO #244188,104698,Metalaire,1,ITEM,502.65,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686332,103752,868.82,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10584  Created for SO #244629,100866,GREENHECK FAN CORPORATION (V),1,ITEM,868.82,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686409,103749,246.49,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10677  Created for SO #244648,100866,GREENHECK FAN CORPORATION (V),1,ITEM,246.49,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686644,103747,399.76,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10750  Created for SO #244954  SO Note: Cassie Stayton 360-878-2278  TF-4.1 Motor R...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,399.76,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686645,103748,555.56,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10756  Created for SO #244971  TAG:   ATTN FM-667-30311  Kate Gibson,100866,GREENHECK FAN CORPORATION (V),1,ITEM,555.56,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686823,103744,554.85,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10359  Created for SO #244236,100866,GREENHECK FAN CORPORATION (V),1,ITEM,554.85,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686824,103746,946.86,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10715  Created for SO #244895  SO Note: Micheal Hebert: 425-761-3209    No charge. ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,946.86,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95686941,103745,2581.75,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10748  Created for SO #244949,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2581.75,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687037,103063,2147.55,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10721  Created for SO #244898,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2147.55,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687038,103066,521.59,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10267  Created for SO #244123  SO Note: Nikki Knapp 206.608.2584  The Margot  PO 12096,100866,GREENHECK FAN CORPORATION (V),1,ITEM,521.59,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687059,103753,1886.39,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10527  Created for SO #244541,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1886.39,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687099,103065,5647.25,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10479  Created for SO #244461,100866,GREENHECK FAN CORPORATION (V),1,ITEM,5647.25,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687229,103064,162.7,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10782  Created for SO #245011  SO Note: Zack McGinnis 425-883-9224,100866,GREENHECK FAN CORPORATION (V),1,ITEM,162.7,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687272,103067,181.35,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10778  Created for SO #245007  SO Note: Rod 425-967-6571  Epicenter Apts.   PO 2468...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,181.35,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687295,103755,1472.77,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10282  Created for SO #244146,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1472.77,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687296,103754,93.44,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10781  Created for SO #245015,100866,GREENHECK FAN CORPORATION (V),1,ITEM,93.44,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687343,103757,454.3,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10792  Created for SO #245029  SO Note: Joshua Timmen - 2065142716  PO# 691371  Job...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,454.3,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687416,103756,942.96,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10294  Created for SO #244175,100866,GREENHECK FAN CORPORATION (V),1,ITEM,942.96,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687445,103068,44001.17,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 25-18648  Created for SO #243151,100866,GREENHECK FAN CORPORATION (V),1,ITEM,44001.17,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687591,103070,313.02,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 25-18664  Created for SO #243147,100866,GREENHECK FAN CORPORATION (V),1,ITEM,313.02,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687592,103069,3101.15,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 25-18682  Created for SO #243191,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3101.15,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687671,103072,4892.18,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 25-18774  Created for SO #243215,100866,GREENHECK FAN CORPORATION (V),1,ITEM,4892.18,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687806,103758,1405.68,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10592  Created for SO #244657  Cameron Foreman  Assistant Project Manager  Emerald ...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1405.68,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95687807,103071,2685.64,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10501  Created for SO #244504  SO Note: Zero charge to customer.  Incorrect dampers...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2685.64,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687880,103073,621.15,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10440  Created for SO #244329,100866,GREENHECK FAN CORPORATION (V),1,ITEM,621.15,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95687982,103759,644.26,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10631  Created for SO #244742  SO Note: Tonya Kinzler  World mark discovery  PO# is...,100866,GREENHECK FAN CORPORATION (V),1,ITEM,644.26,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95688074,103074,159.94,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10296  Created for SO #244176,100866,GREENHECK FAN CORPORATION (V),1,ITEM,159.94,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688290,103075,406.29,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10306  Created for SO #244189,100866,GREENHECK FAN CORPORATION (V),1,ITEM,406.29,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688354,103077,1042.62,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10606  Created for SO #244687,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1042.62,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688379,103076,599.68,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10665  Created for SO #244818,100866,GREENHECK FAN CORPORATION (V),1,ITEM,599.68,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688424,103078,3013,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10602  Created for SO #244676,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3013,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688537,103760,905.8,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10684  Created for SO #244840,100866,GREENHECK FAN CORPORATION (V),1,ITEM,905.8,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95688549,103079,2852.51,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10566  Created for SO #244606,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2852.51,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688603,103081,1151.35,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10613  Created for SO #244683,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1151.35,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688706,103080,48.57,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10834  Created for SO #245100  SO Note: Aliecia Carmichael 253-777-8840  Po# 60317,100866,GREENHECK FAN CORPORATION (V),1,ITEM,48.57,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688825,103082,3101.35,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10758  Created for SO #244521  SO Note: Kennmore,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3101.35,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688842,103083,215.43,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10291  Created for SO #244153,100866,GREENHECK FAN CORPORATION (V),1,ITEM,215.43,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95688949,103761,351.12,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10025  Created for SO #243680  SO Note: PO 10565,100866,GREENHECK FAN CORPORATION (V),1,ITEM,351.12,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95688950,103089,6929.88,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10162  Created for SO #243913,100866,GREENHECK FAN CORPORATION (V),1,ITEM,6929.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689007,103085,2254.55,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 25-18190  Created for SO #242305,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2254.55,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689038,104085,560.84,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10008  Created for SO #243644,104698,Metalaire,1,ITEM,560.84,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95689039,103619,713.47,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10077  Created for SO #243750,104698,Metalaire,1,ITEM,713.47,Dorse_Line_1,1510.1601.100.000.511000.0000.000
9568927,103816,2652.61,2026-02-13,USD,Conversion,STANDARD,FB: PO# - 26-10922  Created for SO #245270,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2652.61,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95689320,103762,152.92,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10833  Created for SO #245098,100866,GREENHECK FAN CORPORATION (V),1,ITEM,152.92,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95689372,103086,5957.59,2026-02-05,USD,Conversion,STANDARD,"FB: PO# - 25-18723  Created for SO #243292  Ryan Johnson, LEED AP  Emerald Aire, Inc.  Project M...",100866,GREENHECK FAN CORPORATION (V),1,ITEM,5957.59,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689595,103087,2323.37,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10514  Created for SO #244523,100866,GREENHECK FAN CORPORATION (V),1,ITEM,2323.37,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689669,103088,118.07,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10762  Created for SO #244981  SO Note: Anthony Driesen  509-941-8231,100866,GREENHECK FAN CORPORATION (V),1,ITEM,118.07,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689670,103763,871.85,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10800  Created for SO #245051,100866,GREENHECK FAN CORPORATION (V),1,ITEM,871.85,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95689715,103084,3883.79,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10352  Created for SO #244248,100866,GREENHECK FAN CORPORATION (V),1,ITEM,3883.79,Dorse_Line_1,1510.1601.100.000.511000.0000.000
95689749,103764,1546.34,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10247  Created for SO #244063,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1546.34,Dorse_Line_1,1510.1602.100.000.511000.0000.000
95689888,103765,1718.75,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10345  Created for SO #244248,100866,GREENHECK FAN CORPORATION (V),1,ITEM,1718.75,Dorse_Line_1,1510.1602.100.000.511000.0000.000
