row_number,Opco,PartyNumber,entity_name_original,address1_original,address2_original,address3_original,city_original,state_original,zip_original,country_original,AddressBill-to_original,PhoneNumber1_original,PhoneNumber2_original,FaxNumber_original,ContactPerson1_original,TaxIdentifier_original,ContactPerson2_original,EmailAddress1_original,EmailAddress2_original,PaymentTerm_original,ShipTo_original,Bill-to_original,.,entity_name_ora,SITE1_address1_ora,SITE2_address1_ora,address2_ora,address3_ora,city_ora,state_ora,zip_ora,country_ora,PhoneNumber1_ora,PhoneNumber2_ora,FaxNumber_ora,ContactPerson1_ora,TaxIdentifier_ora,ContactPerson2_ora,EmailAddress1_ora,EmailAddress2_ora,PaymentTerm_ora,ShipTo_ora,Bill-to_ora,confidence_level,confidence_score,record_status,validated_at
139,CJBS,,TONY'S ITALIAN,,,,,,,US,,,,,,,,,,,,Y,,TONY'S ITALIAN,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
140,CJBS,,Total Mechanical Solutions LLC,4445 Corporation Lane,Suite 259,,Virginia Beach,VA,23462,US,"4445 Corporation Lane
Suite 259 Virginia Beach Virginia 23462 United States",,,,,,,,,,Y,Y,,TOTAL MECHANICAL SOLUTIONS LLC,4445 CORPORATION LN,,SUITE 259,,VIRGINIA BEACH,VA,23462,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:12
141,CJBS,,VA Center for Behavioral Rehabilitation,5001 E Patrick Henry Highway,A79403 Storeroom,,Burkville,VA,23922,US,"A79403, Storeroom
5001 E. Patrick Henry Highway Burkville VA 23922 USA",(804) 766-3207 ,,,,,,vcbrap@dbhds.virginia.gov,,,Y,Y,,VA CENTER FOR BEHAVIORAL REHABILITATION,5001 E PATRICK HENRY HWY,,A79403 STOREROOM,,BURKVILLE,VA,23922,US,+18047663207,+18047663207,,,,,vcbrap@dbhds.virginia.gov,,,Y,Y,LOW,100.0,REVIEW,NaT
142,CJBS,,VCU,912 W Grace St5th,,,Floor Richmond,VA,23284,US,912 W. Grace St5th Floor Richmond VA 23284 USA,,,,,,,FMContracts@vcu.edu,,,Y,Y,,VCU,912 W GRACE ST5TH,,,,FLOOR RICHMOND,VA,23284,US,,,,,,,fmcontracts@vcu.edu,,,Y,Y,LOW,100.0,REVIEW,NaT
143,CJBS,,Virginia Cancer Institute,7501 Right Flank Rd,,,Mechanicsville,VA,23116,US,7501 Right Flank Rd. Mechanicsville VA 23116 United States,,,,,,,vciap@vacancer.com,,,Y,Y,,VIRGINIA CANCER INSTITUTE,7501 RIGHT FLANK RD,,,,MECHANICSVILLE,VA,23116,US,,,,,,,vciap@vacancer.com,,,Y,Y,LOW,100.0,REVIEW,NaT
144,CJBS,,Virginia Commonwealth University,Box 3985,,,Scranton,PA,18505,US,Accounts PayableBox 3985 Scranton PA 18505 US,,,,,,,whitleyl@vcu.edu,,,Y,Y,,VIRGINIA COMMONWEALTH UNIVERSITY,BOX 3985,,,,SCRANTON,PA,18505,US,,,,,,,whitleyl@vcu.edu,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
145,CJBS,,Virginia Department of Agriculture and Consumer Services,102 Governor St,,,Richmond,VA,23219,US,102 Governor St Richmond VA 23219 USA,(804) 225-4887 ,,,,,,,,,Y,Y,,VIRGINIA DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,102 GOVERNOR ST,,,,RICHMOND,VA,23219,US,+18042254887,+18042254887,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:18
146,CJBS,,Virginia Department of Corrections,6900 Atmore Dr,,,Richmond,VA,23225,US,6900 Atmore Dr Richmond VA 23225 USA,,,,,,,,,,Y,Y,,VIRGINIA DEPARTMENT OF CORRECTIONS,6900 ATMORE DR,,,,RICHMOND,VA,23225,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:20
147,CJBS,,Virginia State University,PO BOX 9075,Virginia State University,,,VA,23806,US,P.O. Box 9075 Virginia State University Virginia 23806,(804) 524-5660 ,,,Accounts Payable,,,accountspayable@vsu.edu,,,Y,Y,,VIRGINIA STATE UNIVERSITY,PO BOX 9075,1 HAYDEN DR,VIRGINIA STATE UNIVERSITY,,PETERSBURG,VA,23806,US,+18045245660,+18045245660,,,,,accountspayable@vsu.edu,,,Y,Y,HIGH,40.0,READY,NaT
148,CJBS,,Virginia Veterinary Centers,4300 Greybull Dr,,,Short Pump,VA,23233,US,4300 Greybull Dr. Short Pump Virginia 23233 United States,,,,,,,,,,Y,Y,,VIRGINIA VETERINARY CENTERS,4300 GREYBULL DR,,,,SHORT PUMP,VA,23233,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:21
149,CJBS,,Virginia Womens Center,7130 Glen Forest Dr,Suite 101,,Richmond,VA,23226,US,7130 Glen Forest Dr.Suite 101 Richmond VA 23226 US,(804) 288-4084 ,,,Christy  Ennas,,,cennas@vwcenter.com,,,Y,Y,,VIRGINIA WOMENS CENTER,7130 GLEN FOREST DR,,SUITE 101,,RICHMOND,VA,23226,US,+18042884084,+18042884084,,Christy Ennas,,,cennas@vwcenter.com,,,Y,Y,LOW,100.0,REVIEW,NaT
150,CJBS,,Voltus,2443 Fillmore Street,,,#380-3427 San Francisco,CA,94115,US,"2443 Fillmore Street 
#380-3427 San Francisco CA 94115 United States",,,,Voltus,,,accounting@voltus.co,,,Y,Y,,VOLTUS,2443 FILLMORE ST,,,,#380-3427 SAN FRANCISCO,CA,94115,US,,,,Voltus,,,accounting@voltus.co,,,Y,Y,LOW,100.0,REVIEW,NaT
151,CJBS,,Waco Inc,5450 Lewis Rd,,,Sandston,VA,23150,US,5450 Lewis Rd Sandston VA 23150 USA,,,,,,,lallen@wacoinc.net,,,Y,Y,,WACO INC,5450 LEWIS RD,,,,SANDSTON,VA,23150,US,,,,,,,lallen@wacoinc.net,,,Y,Y,LOW,100.0,REVIEW,NaT
152,CJBS,,Warwick Mechanical Group,11048 Warwick Blvd,,,Newport News,VA,23601-3229,US,11048 Warwick Blvd. Newport News VA 23601-3229,,,,,,,AP@WPHCORP.COM,,,Y,Y,,WARWICK MECHANICAL GROUP,11048 WARWICK BLVD,,,,NEWPORT NEWS,VA,23601-3229,US,,,,,,,ap@wphcorp.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:28
153,CJBS,,Weinstein JCC,5403 Monument Ave,,,Richmond,VA,23226,US,5403 Monument Ave Richmond VA 23226 USA,,,,,,,asnyder@weinsteinjcc.org,,,Y,Y,,WEINSTEIN JCC,5403 MONUMENT AVE,,,,RICHMOND,VA,23226,US,,,,,,,asnyder@weinsteinjcc.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:30
154,CJBS,,Welding Process & Mechanical Inc,PO Box 503,,,Powhatan,VA,23139,US,P.O. Box 503 Powhatan Virginia 23139 United States,,,,,,,,,,Y,Y,,WELDING PROCESS & MECHANICAL INC,PO BOX 503,,,,POWHATAN,VA,23139,US,,,,,,,,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
155,CJBS,,Westdale Asset Management,11551 Nuckols Road,Ste O,,Glen Allen,VA,23059,US,11551 Nuckols Road Ste O Glen Allen Virginia 23059 United States,(804) 396-2496 ,,,Westdale Asset Management,,,Lisa.Hoover@westdale.com,,,Y,Y,,WESTDALE ASSET MANAGEMENT,11551 NUCKOLS RD,,STE O,,GLEN ALLEN,VA,23059,US,+18043962496,+18043962496,,,,,lisa.hoover@westdale.com,,,Y,Y,LOW,100.0,REVIEW,NaT
156,CJBS,,Westminster Presbyterian Church,4103 Monument Ave,,,Richmond,VA,23230,US,4103 Monument Ave Richmond Virginia 23230 United States,(804) 355-6885 ,,,Sherry  MacLaughlin,,,info@wpcrichmond.org,,,Y,Y,,WESTMINSTER PRESBYTERIAN CHURCH,4103 MONUMENT AVE,,,,RICHMOND,VA,23230,US,+18043556885,+18043556885,,Sherry Maclaughlin,,,info@wpcrichmond.org,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:56:33
